,review,cleaned_review,polarity
3011,Don't buy this product in your life because this product is having display problems. My display got  spoilt. No customer care service .I have complain on 23 sep but till date no enjinear visited to check my TV...so don't buy this product..No aftersales service...,dont buy product life product display problem display got spoilt customer care service complain 23 sep till date enjinear visited check tvso dont buy productno aftersales service,0.0
3012,Worst product and also worst service ever. It's been month and i didn't get my tv repaired.Don't buy this product.,worst product also worst service ever month didnt get tv repaireddont buy product,-1.0
3013,"Picture is good, and voice recognition and volume control. And sound quality is good",picture good voice recognition volume control sound quality good,0.6
3014,Picture quality is good .but sound quality is very bad did not expected this from one plus.but picture quality is worth the view.free installation is done .wall mount is free ask delivery person if needed it's free of cost .on time delivery and installation,picture quality good sound quality bad expected one plusbut picture quality worth viewfree installation done wall mount free ask delivery person needed free cost time delivery installation,0.20000000000000004
3015,The display quality is Very good at lower price.Sound quality is also good.Wall mount is not available with the TV.We need to pay extra for the wall mounting.I prefer to buy the wall mount stand along with the TV while online purchase itself.,display quality good lower pricesound quality also goodwall mount available tvwe need pay extra wall mountingi prefer buy wall mount stand along tv online purchase,0.3666666666666667
3016,Display has bright spots which makes OnePlus TV SETTLED,display bright spot make oneplus tv settled,0.7000000000000001
3017,"I purchased by seeing best seller and brand. But  bad experience i got with connectivity and oneplus connect app. Installation service also worst. Just he make tv on and went. Google voice search also not working. My suggestion is better to go for sony.,samsung or lg.",purchased seeing best seller brand bad experience got connectivity oneplus connect app installation service also worst make tv went google voice search also working suggestion better go sonysamsung lg,-0.04999999999999996
3018,"sound is like 100 rs  sound box  which is far better than this  ,designers please look in to this sound quality",sound like 100 r sound box far better designer please look sound quality,0.36
3019,I got many features which oneplus is offering at very affordable price with good quality and its sound system is very good so you don't need any speakers or hometheatre,got many feature oneplus offering affordable price good quality sound system good dont need speaker hometheatre,0.575
3020,Such a bad product within 4 months the screen display got bad and vertical lines appeared on the screen it's a waste of money and even the Amazon warranty is of no use we can't even book for service request still though it in warranty period..,bad product within 4 month screen display got bad vertical line appeared screen waste money even amazon warranty use cant even book service request still though warranty period,-0.5333333333333332
3021,Value for moneySimply loved itBest in its range,value moneysimply loved itbest range,0.7
3022,"Worst product,with in one day display problem cmg ,only auido cmg ,bad quality product,and bad customer service,no exchange available,for exchange they asking 10days time for technician enquiry give certificate that tv not working really bad experience with Amazon please don't buy this product",worst productwith one day display problem cmg auido cmg bad quality productand bad customer serviceno exchange availablefor exchange asking 10days time technician enquiry give certificate tv working really bad experience amazon please dont buy product,-0.7749999999999998
3023,"waste of money,Not satisfied with this product, it's not working properly. Pendrive Jack is not working, lagging too much, smart features is not working properly, I advise to all don't buy this tv",waste moneynot satisfied product working properly pendrive jack working lagging much smart feature working properly advise dont buy tv,0.10285714285714284
3024,"After using 2 months, i need to call for repair 3 times, picture comes in negative, no clear sound..Poor service from amazon when it comes to repair....technicians are not trained properly....",using 2 month need call repair 3 time picture come negative clear soundpoor service amazon come repairtechnicians trained properly,-0.06666666666666665
3025,1. Picture quality is good not best.2. Tv was lagging before last update but now its fine but not properly fixed.3. Amazon echo dot not following commands( Tried many  methods from many sources)But still no success.4. Audio quality is good.,1 picture quality good best2 tv lagging last update fine properly fixed3 amazon echo dot following command tried many method many sourcesbut still success4 audio quality good,0.3520833333333333
3026,picture quality is very bad. it does not have clarity,picture quality bad clarity,-0.6999999999999998
3027,I think in this segment this model tops the chart with all the aspects ....Lets see how it plays in long run.....will keep you posted....,think segment model top chart aspect let see play long runwill keep posted,0.225
3028,"स्क्रीन मिररिंग करने में बहुत दिक्कत हो रही है, अगर आप यह टीवी स्क्रीन मिररिंग के लिए ले रहे हैं तो वे स्टॉप मनी प्रोडक्ट है",सकरन मररग करन म बहत दककत ह रह ह अगर आप यह टव सकरन मररग क लए ल रह ह त व सटप मन परडकट ह,0.0
3029,Picture quality is pathetic. Not in line with what they have claimed. Better to go with Samsung if you have more Rupees to spend.Smart features are good.,picture quality pathetic line claimed better go samsung rupee spendsmart feature good,0.06666666666666665
3030,Everything is really great. But if it were had 4k support would have been perfect.,everything really great 4k support would perfect,0.9
3031,The support from amazon works really well. We have a exchange so all support was fantastic. Tv itself is really good all smart features in the tv. We are using for 6 months now. I can say we love this buy,support amazon work really well exchange support fantastic tv really good smart feature tv using 6 month say love buy,0.40285714285714286
3032,"Nice product with so many smart features, good and decent picture and sound quality .Only denerit is the tv remote and it hangs like android mobile set .But best product in this price range .",nice product many smart feature good decent picture sound quality denerit tv remote hang like android mobile set best product price range,0.43511904761904757
3033,Voice Recognition option gone in a week .And Google Assistance not working. Need special App for Screen mirror option. Some mobiles not mirror wit it.,voice recognition option gone week google assistance working need special app screen mirror option mobile mirror wit,0.35714285714285715
3034,Nice tv. Slim and clear.Software needs to updated. They have some errors and i am hoping for update to come.,nice tv slim clearsoftware need updated error hoping update come,0.6
3035,not worth for money. Lags a lot and display is average. Better to go for other  brands. Installation not done by the team. Raised concerns with Amazon multiple times but no response. Finally did through local service guy for 500,worth money lag lot display average better go brand installation done team raised concern amazon multiple time response finally local service guy 500,0.13
3036,"Product is good,instalation on time. better than VU Cinema Picture quality, Sound quality is bad than VU Cenima; so friends you want Best Picture go for oneplus or for sound quality go with VU Cinema.",product goodinstalation time better vu cinema picture quality sound quality bad vu cenima friend want best picture go oneplus sound quality go vu cinema,0.32
3037,"The tv has some bugs like android mobiles have..like hanging,screen decolourisation while watching n delay in remote response system.. especially struggle in turning on through remote.",tv bug like android mobile havelike hangingscreen decolourisation watching n delay remote response system especially struggle turning remote,-0.06666666666666667
3038,"Product okInstallation Company is not good he Send a local installation boy & he was not a well trained, about Oneplus Tv he was not explained about options  he was charged 200₹ for installed the tv Amazon please u not recommend the company to other customer",product okinstallation company good send local installation boy well trained oneplus tv explained option charged 200 installed tv amazon please u recommend company customer,0.35
3039,Everything is averaging like all other brands !TV is slow in comparison with other brands !,everything averaging like brand tv slow comparison brand,-0.30000000000000004
3040,Wall mount not included in the set and is to be paid in cash while installation which has not been mentioned anywhere while purchasing it.,wall mount included set paid cash installation mentioned anywhere purchasing,0.0
3041,Friends please don't buy this TV from Amazon.. having very bad experience. I'm having issue in my TV  with in 7 day's of installation.. their is Black spot coming in the screen.. From Last 6  month I made complaint many times but my issue in not resolved by Amazon.,friend please dont buy tv amazon bad experience im issue tv 7 day installation black spot coming screen last 6 month made complaint many time issue resolved amazon,-0.1333333333333333
3042,Bought this tv after a thorough review analysis.. using one plus phone which is working awesome..but one plus tv is really very bad....sound quality is like a local radio... picture quality is also not that good..won't recommend it to anyone,bought tv thorough review analysis using one plus phone working awesomebut one plus tv really badsound quality like local radio picture quality also goodwont recommend anyone,0.1
3043,value of Money .. gud servicebut I dint recieved my free 3 month prime subscription linkas per the email notification,value money gud servicebut dint recieved free 3 month prime subscription linkas per email notification,0.4
3044,"This TV delivered today but youtube, amazon prime and any other app is not working. Also i am not able to download any application via playstore. Worst TV ever.Do not buy One Plus go for different option",tv delivered today youtube amazon prime app working also able download application via playstore worst tv everdo buy one plus go different option,-0.16666666666666666
3045,"Tv is really good .But wrost installation service . I called installation person form amazon account message centre up to 4 days they can’t receive call and can’t help .It’s not really good service of amazonSo , All are requesting u not purchase one plus tv from amazon .",tv really good wrost installation service called installation person form amazon account message centre 4 day cant receive call cant help really good service amazonso requesting u purchase one plus tv amazon,0.7
3046,Picture Quality of this tv is very 2 Good. Sound is so good. Dolby Digital Sound. Easy Operating. Good Quality in this price instead of Mi Tv.,picture quality tv 2 good sound good dolby digital sound easy operating good quality price instead mi tv,0.4761904761904763
3047,Good as expected sound was good in HDMINot tried analog cable,good expected sound good hdminot tried analog cable,0.425
3048,Yeah it was nice. Picture quality was awesome. But. But....the panel is poorly done. Not gud. We experienced a little issues then it became ok. Voice recognition is not best but good. Sound is very loud and good.,yeah nice picture quality awesome butthe panel poorly done gud experienced little issue became ok voice recognition best good sound loud good,0.4738636363636364
3049,"Worst,Amazon always tops in service .Product recieved is bad not as expected.So sad of it .",worstamazon always top service product recieved bad expectedso sad,-0.23333333333333328
3050,DIMMING ISSUES,dimming issue,0.0
3051,"It's good a TV, but features like brightness, saturation should have been good, and you cannot those in settings",good tv feature like brightness saturation good cannot setting,0.7
3052,ONE PLUS 32 LED TV SOUND QUALITY WAS VERY POOR AND TV RESTART AUTOMATICALLY AND EVEN MOST OF TIME TV HANG WHEN SWTICH ONE CHANNEL TO OTHER CHANNEL. EVEN SOME OF FUNCTION NOT PROPERLY WORK IT AND CUSTOMER CARE PERSON HAS NO SOLUTION FOR THIS.,one plus 32 led tv sound quality poor tv restart automatically even time tv hang swtich one channel channel even function properly work customer care person solution,0.0
3053,Very very slow operation. mirroring options very bad,slow operation mirroring option bad,-0.49999999999999994
3054,Picture quality and sound quality is not good .and 3 star rated product. Totally am disappointed.And some time device is hanging.please replace this product..i will never sansui product again.please replace this product,picture quality sound quality good 3 star rated product totally disappointedand time device hangingplease replace producti never sansui product againplease replace product,0.3666666666666667
